"","x","y","na.x","size","vertex.names","xend","yend","na.y"
"84",0.794361876291199,0.768812679319596,FALSE,3,"SenGillibrand",0.794361876291199,0.768812679319596,NA
"85",0.240604779610686,0.582422491440425,FALSE,2,"SenJackReed",0.240604779610686,0.582422491440425,NA
"86",0.624418440307986,0,FALSE,1,"SenJohnThune",0.624418440307986,0,NA
"87",0.415329500638177,0.0397278049538704,FALSE,1,"BobCorker",0.415329500638177,0.0397278049538704,NA
"88",0.430838923486119,0.807504564959852,FALSE,3,"timkaine",0.430838923486119,0.807504564959852,NA
"89",0.324166431303026,0.81726301903625,FALSE,3,"SenDougJones",0.324166431303026,0.81726301903625,NA
"90",0,0.40844976571117,FALSE,1,"BillCassidy",0,0.40844976571117,NA
"91",0.656463499448834,0.990593036800354,FALSE,2,"SenKamalaHarris",0.656463499448834,0.990593036800354,NA
"92",0.560578088798135,1,FALSE,2,"ChrisVanHollen",0.560578088798135,1,NA
"93",0.47682949918093,0.981435738246836,FALSE,2,"SenTinaSmith",0.47682949918093,0.981435738246836,NA
"94",0.756044840938855,0.807341191986318,FALSE,3,"SenSanders",0.756044840938855,0.807341191986318,NA
"1710",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.414423812416832,0.220672686462118,FALSE
"1810",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.376322302378813,0.556591197609969,FALSE
"1910",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.270370484186378,0.651679986941031,FALSE
"2010",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.324166431303026,0.81726301903625,FALSE
"2110",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.185568017329504,0.445194434687204,FALSE
"2210",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.509058614935826,0.579054930630095,FALSE
"2310",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.274758392753096,0.312969557659764,FALSE
"2410",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.557708414315835,0.314820620213066,FALSE
"2510",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.325060328901302,0.688534986419114,FALSE
"2610",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.474544898828045,0.640716125218343,FALSE
"2710",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.547461983350441,0.677553075157121,FALSE
"284",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.331634920849322,0.579935221252755,FALSE
"2910",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.318333520691468,0.346694815043109,FALSE
"3010",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.335824698657038,0.231206119084791,FALSE
"3110",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.337335918006055,0.29271605209781,FALSE
"3210",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.453833680451714,0.705974921665529,FALSE
"3310",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.431634466369745,0.579629372639282,FALSE
"346",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.492918361377059,0.325235975758731,FALSE
"351",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.572934926925712,0.397244097154177,FALSE
"361",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.433433233581902,0.354571483750405,FALSE
"371",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0,0.40844976571117,FALSE
"381",0.357799000034154,0.46985362703527,FALSE,37,"SenJohnKennedy",0.304567570078099,0.264572717805338,FALSE
